Year,GDP (current US$)
1960,15953203852.6831
1961,17354781170.8613
1962,18821353528.9936
1963,20371666154.3761
1964,22718426804.3529
1965,25000191834.4649
1966,27194141951.3307
1967,29517675437.3889
1968,31323283317.2145
1969,34016617941.5889
1970,38092452060.6201
1971,41566412922.6087
1972,48954145808.8359
1973,59404966684.2214
1974,66013338964.725
1975,82885397620.5385
1976,89362071672.9034
1977,94468740851.4816
1978,104442351222.751
1979,123386410160.715
1980,142092068280.689
1981,129686938223.328
1982,114380557730.876
1983,105014356666.797
1984,109201362581.3
1985,114123537581.794
1986,150498057723.623
1987,183009638350.893
1988,206986674500.588
1989,217948315624.564
1990,261846194498.885
1991,274229034311.699
1992,284321115594.629
1993,212953336588.123
1994,229033566614.826
1995,267305875261.099
1996,291743811512.079
1997,268146144677.73
1998,270809066780.714
1999,274072182416.731
2000,262835454366.855
2001,242395852494.409
2002,266849061835.659
2003,334337212322.076
2004,385118044877.465
2005,392218088878.779
2006,423093437423.762
2007,491252589217.021
2008,517706149201.196
2009,436537014293.554
2010,495812558843.31
2011,574094112972.733
2012,552483727282.802
2013,586841821796.891
2014,581964017237.095
2015,505103781349.757
2016,515654671469.547
2017,541018749769.097
2018,555455371487.089
2019,533879529188.454
2020,547054174235.876
2021,639714956069.468
2022,590409594949.102
2023,593267701033.408
